id,split,category,language,difficulty,question_type,question,used_query,answerable,expected_documents,expected_pages,first_relevant_document_rank,first_relevant_page_rank,document_mrr,page_mrr,returned_no_result,retrieval_false_positive,latency_ms,retrieved_chunk_count,top_score,top_base_score,top_reranker_score,top_evidence_score,top_evidence_supported,top_evidence_missing_concepts,top_evidence_hard_failures,top_answerability_score,top_answerability_reason,top_answerability_score_margin,top_answerability_supporting_candidates,retrieved_documents,document_hit@1,document_precision@1,document_recall@1,document_hit@3,document_precision@3,document_recall@3,document_hit@5,document_precision@5,document_recall@5,page_hit@1,page_precision@1,page_recall@1,page_hit@3,page_precision@3,page_recall@3,page_hit@5,page_precision@5,page_recall@5
FAQ-008,test,faq,id,hard,multi_hop,"Jika saya membeli meja ergonomis senilai Rp 2.000.000 untuk keperluan WFH, berapa nominal maksimal yang akan diganti perusahaan, dan apakah saya wajib melampirkan nota asli?","If I buy an ergonomic desk for IDR 2,000,000 for WFH purposes, what is the maximum reimbursement amount, and must I attach the original receipt?",True,faq_remote_work.txt | sop_expense_reimbursement.pdf,faq_remote_work.txt#p1 | sop_expense_reimbursement.pdf#p1,1,1,1.0,1.0,,,350.568,1,0.712137,0.650183,,0.898,True,,,0.727362,"Retrieval contains explicit, sufficiently supported evidence.",0.712137,1,1:SOP_Expense_Reimbursement.pdf#p1[0.712137],1.0,1.0,0.5,1.0,0.3333333333333333,0.5,1.0,0.2,0.5,1.0,1.0,0.5,1.0,0.3333333333333333,0.5,1.0,0.2,0.5
FAQ-009,test,faq,id,medium,procedural,"Jika ada email masuk yang mendesak dari CEO meminta detail transfer kawat, tetapi alamat pengirimnya terlihat sedikit salah eja, apa yang harus saya lakukan?",prosedur pelaporan email mencurigakan phishing tombol report,True,faq_security_awareness.txt,faq_security_awareness.txt#p1,1,1,1.0,1.0,,,297.196,5,0.725929,0.725929,,0.657143,True,,,0.716668,"Retrieval contains explicit, sufficiently supported evidence.",0.099773,2,1:FAQ_Security_Awareness.txt#p1[0.725929] | 2:Report_Security_Review_2025.pdf#p1[0.626156] | 3:Policy_BYOD.docx#p1[0.37433] | 4:Policy_Anti_Harassment.docx#p1[0.340278] | 5:Report_IT_Audit_2025.pdf#p1[0.328836],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-010,test,faq,id,medium,procedural,Siapa yang memegang otoritas persetujuan akhir ketika seorang developer membutuhkan lisensi untuk IDE perangkat lunak baru?,persetujuan system owner untuk request akses lisensi software IT service desk,True,faq_software_access.txt,faq_software_access.txt#p1,1,1,1.0,1.0,,,283.151,3,0.794891,0.74541,,0.943333,True,,,0.857368,"Retrieval contains explicit, sufficiently supported evidence.",0.116991,3,1:FAQ_Software_Access.txt#p1[0.794891] | 2:SOP_Access_Provisioning.pdf#p1[0.6779] | 3:FAQ_IT_Support.txt#p1[0.586602],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
POL-008,test,policy,id,medium,factual,Tingkat manajerial mana yang harus memberikan otorisasi untuk pembelian peralatan server dengan harga IDR 25 juta?,procurement approval threshold IDR 10-50 million department head,True,policy_procurement_threshold.docx,policy_procurement_threshold.docx#p1,1,1,1.0,1.0,,,291.094,5,0.895,0.86,,1.0,True,,,0.95275,"Retrieval contains explicit, sufficiently supported evidence.",0.25393,3,1:Policy_Procurement_Threshold.docx#p1[0.895] | 2:SOP_Procurement.pdf#p1[0.64107] | 3:SOP_Expense_Reimbursement.pdf#p1[0.500825] | 4:Report_Financial_FY2025.pdf#p1[0.494862] | 5:Report_Q3_2025_Performance.pdf#p1[0.43329],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
POL-009,test,policy,id,easy,factual,Berapa batas uang saku makan harian ketika melakukan perjalanan dinas di dalam negeri?,What is the daily food allowance limit when taking a business trip within the country?,True,policy_travel_expense.docx,policy_travel_expense.docx#p1,,,0.0,0.0,,,313.688,2,0.520308,0.417078,,0.83,True,,,0.633139,"Retrieval contains explicit, sufficiently supported evidence.",0.049442,2,1:FAQ_Benefits.txt#p1[0.520308] | 2:FAQ_Remote_Work.txt#p1[0.470866],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POL-010,test,policy,id,hard,multi_hop,"Jika seorang desainer bekerja secara remote di luar kantor dan jadwalnya jatuh pada libur nasional, apakah ia tetap diwajibkan online di aplikasi tim pada jam 14.00 WIB?",remote work core hours 10:00-16:00 WIB availability during holiday,True,faq_payroll.txt | policy_wfh.docx,faq_payroll.txt#p1 | policy_wfh.docx#p1,1,1,1.0,1.0,,,309.3,5,0.81625,0.78,,0.925,True,,,0.869812,"Retrieval contains explicit, sufficiently supported evidence.",0.284903,2,1:Policy_WFH.docx#p1[0.81625] | 2:FAQ_Remote_Work.txt#p1[0.531347] | 3:FAQ_Payroll.txt#p1[0.393701] | 4:SOP_Data_Backup.pdf#p1[0.385108] | 5:TECH_Disaster_Recovery.txt#p1[0.38231],1.0,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,0.4,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,0.4,1.0
REP-008,test,report,id,medium,multi_fact,Apakah ada catatan pelanggan yang berhasil dicuri selama peristiwa siber yang tercatat sepanjang tahun fiskal lalu?,reportable security incidents 2025 data loss compromised,True,report_security_review_2025.pdf,report_security_review_2025.pdf#p1,1,1,1.0,1.0,,,271.443,5,0.813572,0.78,,0.914286,True,,,0.876108,"Retrieval contains explicit, sufficiently supported evidence.",0.373674,3,1:Report_Security_Review_2025.pdf#p1[0.813572] | 2:Report_IT_Audit_2025.pdf#p1[0.439898] | 3:Report_Incident_Postmortem.pdf#p1[0.364931] | 4:Report_Sustainability_2025.pdf#p1[0.361619] | 5:Report_Network_Capacity.pdf#p1[0.338479],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
REP-009,test,report,id,easy,factual,Seberapa sukses upaya penghematan daya di fasilitas operasi Jawa Barat tahun lalu?,Cikarang office electricity consumption reduction sustainability,True,report_sustainability_2025.pdf,report_sustainability_2025.pdf#p1,1,1,1.0,1.0,,,308.595,1,0.929588,0.906117,,1.0,True,,,0.901648,"Retrieval contains explicit, sufficiently supported evidence.",0.929588,1,1:Report_Sustainability_2025.pdf#p1[0.929588],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
REP-010,test,report,id,easy,factual,"Siapa pemasok pihak ketiga dengan performa terbaik dalam tinjauan tahunan kita, dan berapa nilai yang mereka capai?",highest rating vendor evaluation PT Sumber Makmur score,True,report_vendor_evaluation.pdf,report_vendor_evaluation.pdf#p1,1,1,1.0,1.0,,,304.993,5,0.897614,0.863485,,1.0,True,,,0.889641,"Retrieval contains explicit, sufficiently supported evidence.",0.408647,1,1:Report_Vendor_Evaluation.pdf#p1[0.897614] | 2:Report_CSAT_2025.pdf#p1[0.488967] | 3:Report_IT_Audit_2025.pdf#p1[0.365482] | 4:SOP_Procurement.pdf#p1[0.325067] | 5:Policy_Procurement_Threshold.docx#p1[0.30689],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
SOP-008,test,sop,id,easy,factual,Pada titik mana dalam siklus karyawan baru masa bimbingan mentor yang ditugaskan resmi berakhir?,new hire onboarding buddy mentorship duration first 30 days,True,sop_onboarding.pdf,sop_onboarding.pdf#p1,1,1,1.0,1.0,,,266.725,5,0.7975,0.78,,0.85,True,,,0.838875,"Retrieval contains explicit, sufficiently supported evidence.",0.304611,3,1:SOP_Onboarding.pdf#p1[0.7975] | 2:Report_Hiring_H1_2025.pdf#p1[0.492889] | 3:FAQ_Onboarding.txt#p1[0.472328] | 4:SOP_Procurement.pdf#p1[0.361967] | 5:SOP_Customer_Complaint.pdf#p1[0.359355],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
